Date,IP,lnIP,CPI,M1,lnM1,RRP
1/1/03,6350000000,22.57172065,1.9, 22.3 ,3.106398039,7
2/1/03,6200000000,22.54781513,2.3, 19.2 ,2.955438037,7
3/1/03,6480000000,22.59198635,2.1, 15.4 ,2.732326013,7
4/1/03,6320000000,22.56698505,2.2, 12.6 ,2.536006934,7
5/1/03,6350000000,22.57172065,2.2, 11.2 ,2.415650373,7
6/1/03,6270000000,22.55904219,2.8, 12.8 ,2.552843263,7
7/1/03,6440000000,22.58579438,2.3, 9.9 ,2.291511948,6.760869565
8/1/03,6310000000,22.56540151,2.2, 10.5 ,2.349037051,6.75
9/1/03,6030000000,22.52001285,2.2, 9.2 ,2.215987399,6.75
10/1/03,5940000000,22.50497497,2.3, 8.4 ,2.131587378,6.75
11/1/03,5910000000,22.49991167,2.4, 9.1 ,2.211304408,6.75
12/1/03,5950000000,22.50665706,2.5, 8.6 ,2.146073565,6.75
1/1/04,6320000000,22.56698505,2.9, 10.8 ,2.377256579,6.75
2/1/04,6200000000,22.54781513,2.9, 9.7 ,2.274462024,6.75
3/1/04,6040000000,22.52166985,3.1, 11.8 ,2.470078702,6.75
4/1/04,6160000000,22.54134261,3.2, 13.4 ,2.594397433,6.75
5/1/04,5990000000,22.51335725,3.6, 13.5 ,2.602451479,6.75
6/1/04,6200000000,22.54781513,4.1, 10.1 ,2.308208604,6.75
7/1/04,6080000000,22.52827053,5.5, 11.0 ,2.399153261,6.75
8/1/04,5770000000,22.47593792,5.7, 9.3 ,2.23104555,6.75
9/1/04,6150000000,22.53971792,6.2, 10.0 ,2.302689358,6.75
10/1/04,5960000000,22.50833632,6.3, 10.6 ,2.362752128,6.75
11/1/04,5890000000,22.49652183,6.8, 11.0 ,2.39571982,6.75
12/1/04,5900000000,22.49821819,7.1, 3.5 ,1.24292038,6.75
1/1/05,6040000000,22.52166985,7.3, 9.9 ,2.28870299,6.75
2/1/05,6060000000,22.52497564,7.3, 12.5 ,2.524216399,6.75
3/1/05,5880000000,22.4948226,7.1, 10.8 ,2.377602596,6.75
4/1/05,6250000000,22.5558473,7.2, 9.7 ,2.273952247,6.952380952
5/1/05,6090000000,22.52991392,7.3, 11.0 ,2.393448582,7
6/1/05,6070000000,22.52662444,6.7, 12.6 ,2.530862786,7
7/1/05,6210000000,22.54942673,6, 14.8 ,2.693743707,7
8/1/05,6230000000,22.55264217,6.1, 16.1 ,2.777795642,7
9/1/05,5970000000,22.51001276,6, 14.5 ,2.677179192,7.079545455
10/1/05,6250000000,22.5558473,6.2, 14.8 ,2.697535304,7.345238095
11/1/05,6240000000,22.55424602,6.2, 11.5 ,2.443000675,7.5
12/1/05,6000000000,22.51502531,5.9, 16.1 ,2.778169187,7.5
1/1/06,5860000000,22.49141544,5.9, 8.6 ,2.149535994,7.5
2/1/06,5870000000,22.49312047,6.5, 7.9 ,2.064334381,7.5
3/1/06,5960000000,22.50833632,6.6, 9.3 ,2.227613727,7.5
4/1/06,5690000000,22.46197609,6.3, 10.2 ,2.322291041,7.5
5/1/06,5820000000,22.4845661,6, 10.9 ,2.393248924,7.5
6/1/06,5610000000,22.44781656,5.9, 11.6 ,2.453459318,7.5
7/1/06,5420000000,22.41336165,5.5, 11.2 ,2.417382463,7.5
8/1/06,5590000000,22.44424512,5.2, 10.7 ,2.37056304,7.5
9/1/06,5590000000,22.44424512,4.9, 12.6 ,2.533419715,7.5
10/1/06,5620000000,22.4495975,4.7, 10.5 ,2.354369601,7.5
11/1/06,5730000000,22.46898137,4.2, 16.0 ,2.775571307,7.5
12/1/06,5690000000,22.46197609,4.1, 22.3 ,3.104694864,7.5
1/1/07,5690000000,22.46197609,3.8, 24.8 ,3.211786483,7.5
2/1/07,5210000000,22.37384569,2.9, 25.5 ,3.237088971,7.5
3/1/07,5520000000,22.4316437,2.6, 29.3 ,3.379267508,7.5
4/1/07,5360000000,22.40222981,2.6, 33.6 ,3.514418106,7.5
5/1/07,5280000000,22.38719193,2.7, 28.9 ,3.365366029,7.5
6/1/07,5410000000,22.41151493,2.6, 28.3 ,3.341572759,7.5
7/1/07,5460000000,22.42071463,2.9, 27.9 ,3.328090327,6.613636364
